Question,A,B,C,D,Answer
"At the end of periodical examination, Teacher R administered a summative test in Filipino. After scoring the test papers she assigned grades to each test score such as 95, 90, 85, 80 etc. What process did Teacher R use?", Ranking, Computation, Measurement, Evaluation,B
"It is the study of man’s prehistory through the buried remains of ancient culture, skeletal remnants of human beings.", Anthropology, Archeology, Ethnology, Ethnography,B
"Teacher D claims: 'If I have to give reinforcement, it has to be given immediately after the response.' Which theory supports Teacher D?", Operant conditioning theory, Social cognitive theory, Cognitive theory, Humanist theory,A
Visual imagery helps people store information in their memory more effectively. Which is one teaching implication of this principle?, You will not object when your students daydream in class., Instruct students to take notes while you lecture., Encourage your students to imagine the characters and situations when reading a story., Tell them to read more illustrated comics.,C
Which is essential in the cognitive development of a person according to Vygotsky?, Independent thinking, Social interaction, Individual mental work, Scientific thinking,A
The design of the 2002 Basic Education Curriculum (BEC) is based on the principles that the main sources for contemporary basic education are the expert systems of knowledge and the learner's experience in their context. This shows that the BEC is _____ in orientation., I and III, III only, I only," I, II, and III",A
Which assessment tool shows evidence of student’s writing skills?, Project, Portfolio, Critiquing sessions, Daily journal,D
"Ask to do a learning task, Joe hesitates and says 'Mahirap. Ayaw ko. 'Di ko kaya!' (It's difficult. I don't like it. I can't do it.) To which problem does the case of the student allude?", I and III, I and II, II and III," I, II, and III",A
Teacher S wants to determine immediately the learning difficulties of her students. Which of the following do you expect her to undertake?, Require her students to prepare a portfolio., Administer an achievement test., Administer a diagnostic test., Interview her students directly.,C
NSAT and NEAT results are interpreted against set mastery level. This means that NSAT and NEAT fall under __________., Intelligence test, Aptitude test, Criterion-referenced test, Norm-referenced test,C
The result of the item analysis showed that item no. 4 has a discrimination index of 0.67. What characteristic could be true about this item?, Difficult, Valid, Easy, Average,D
The theme of Vygotsky's socio-cultural theory emphasizes the role of appropriate assistance given by the teacher to accomplish a task. Such help enables the child to move from the zone of actual development to a zone of proximal development. Such assistance is termed _____, Competency technique, Scaffolding, Active participation, Collaboration,B
Which of these activities is not appealing to the bodily-kinesthetic learners?, Making math moves, Doing simple calisthenics, Sketching/illustrating events, Joining extramural events,C
Institutions of learning are required to meet the minimum standards for state recognition but are encouraged to set higher standards of quality over and above the minimum through _____ as provided in Educational Act of 1982., Lifelong education, Voluntary accreditation, Formal education, Academic freedom,B
"You intend to assess affective attributes such as capacity to feel, attitudes, and behavior. Which of the following should you establish to ascertain the instrument's validity?", Construct, Content, Criterion-related, Face,D
Which will be the most authentic assessment tool for an instructional objective on working with and relating to people?, Conducting mock election, Home visitation, Organizing a community project, Writing articles on working and relating to people,C
"As an effective classroom manager, what should a teacher do?", I and III," II, III, and IV"," I, II, and III"," I, II, III, and IV",A
Keeping track of assessment results from one periodic rating to the next is useful in contributing to the development of a _____, Regional plan, Annual implementation plan, School improvement plan, Division plan,C
"In the K W L technique K stands for what the pupil already knows, W for he wants to know and L for what he _____", Failed to learn, He likes to learn, Needs to learn, Learned,D
Which is one characteristic of an effective classroom management?, It quickly and unobtrusively redirects misbehavior once it occurs., It teaches dependence on others for self-control., It respects cultural norms of a limited group students., Strategies are simple enough to be used consistently.,A
