What is the primary role of a teacher in the classroom?,To deliver lectures only,To facilitate learning,To discipline students,To give exams,b
Which theory focuses on learning through observation?,Behaviorism,Cognitivism,Constructivism,Social Learning Theory,d
Bloom’s Taxonomy is used to classify?,Student behavior,Learning objectives,Teaching styles,School policies,b
Formative assessment is best described as?,Final examination,Diagnostic test,Ongoing assessment,Placement test,b
Which teaching strategy promotes critical thinking?,Lecture method,Role playing,Dictation,Memorization,c
creator of bloom's taxonomy,bloom,richard,iron,man,a
jean piaget,author,librarian,learning by doing,jean piaget,d
test item 1,testing,tester,test-test,juantest,a
howard stark,iron man,lucas graham,trident,once ,a
twice,sana,mina,tzuyu,jihyo,b
